window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_recall,threshold,met_recall_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
20,3,0.005,random_forest,200,10,0.4,0.29771190981271917,True,0.33832989440466077,0.33832989440466077,1.0,0.5056001451049744,0.5082561470513114,0.3480827724486335,5575,10903,82389,30868,37.46616659991018
20,3,0.005,xgboost,100,6,0.3,0.08349315822124481,True,0.33832989440466077,0.33832989440466077,1.0,0.5056001451049744,0.5127884496347531,0.3470174969173162,5575,10903,82389,30868,37.46616659991018
20,3,0.005,xgboost,100,6,0.4,0.08349315822124481,True,0.33832989440466077,0.33832989440466077,1.0,0.5056001451049744,0.5127884496347531,0.3470174969173162,5575,10903,82389,30868,37.46616659991018
20,3,0.005,xgboost,100,10,0.3,0.03191196173429489,True,0.33832989440466077,0.33832989440466077,1.0,0.5056001451049744,0.5049024890915366,0.3405882564856152,5575,10903,82389,30868,37.46616659991018
20,3,0.005,xgboost,100,10,0.4,0.03191196173429489,True,0.33832989440466077,0.33832989440466077,1.0,0.5056001451049744,0.5049024890915366,0.3405882564856152,5575,10903,82389,30868,37.46616659991018
20,3,0.005,xgboost,200,6,0.3,0.030399780720472336,True,0.33839058138123557,0.3383504278691509,1.0,0.5056230727371667,0.5134630654581842,0.347633805754075,5575,10902,82389,30868,37.46616659991018
20,3,0.01,xgboost,100,8,0.4,0.0747402086853981,True,0.2412914188615123,0.2411993202233552,1.0,0.38865525672371637,0.505374384877262,0.24533184176933664,3974,12502,82389,23544,28.57663037541419
20,3,0.01,xgboost,200,6,0.4,0.020451635122299194,True,0.24117004490836266,0.24117004490836266,1.0,0.3886172501466849,0.5058520176412193,0.24723649396169442,3974,12504,82389,23544,28.57663037541419
20,5,0.005,random_forest,200,10,0.4,0.2849770012656816,True,0.3579924748149047,0.3579924748149047,1.0,0.527237788801001,0.5135598659612184,0.37479833348455427,5899,10579,82389,32588,39.553823932806566
20,5,0.005,random_forest,100,8,0.4,0.36327514663318994,True,0.3579924748149047,0.3579924748149047,1.0,0.527237788801001,0.51753260741145,0.37667528738571326,5899,10579,82389,32588,39.553823932806566
20,3,0.015,xgboost,200,8,0.4,0.01339334063231945,True,0.17405024881660397,0.1738998482549317,1.0,0.29627714581178904,0.5028059745272234,0.17811885829702478,2865,13610,82389,17971,21.812377865977254
20,3,0.015,xgboost,200,10,0.3,0.005052190739661455,True,0.17398956184002912,0.17388929351784413,1.0,0.2962618272064526,0.5009428545165674,0.17467559014210682,2865,13611,82389,17971,21.812377865977254
