window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
10,6,0.025,random_forest,200,10,0.5,0.45500351265073413,False,0.22980026990553307,0.20962307268875557,0.986110929469155,0.3457484736141012,0.5363852385629242,0.2248074985593094,75401,284297,1852497,391649,21.141680661291222
10,9,0.025,xgboost,100,10,0.45,0.17999222874641418,False,0.2626585695006748,0.24380611211854886,0.9854199219847791,0.3908986521889388,0.5364324578016272,0.2592337609626809,87660,271888,1852497,456265,24.629729494838585
10,9,0.025,xgboost,100,10,0.5,0.17999222874641418,False,0.2626585695006748,0.24380611211854886,0.9854199219847791,0.3908986521889388,0.5364324578016272,0.2592337609626809,87660,271888,1852497,456265,24.629729494838585
10,9,0.02,random_forest,200,15,0.45,0.4405489406647234,False,0.29726585695006746,0.2794721783082096,0.9854166462211842,0.4354478137840563,0.5355857643076777,0.2958731927388637,100411,258877,1852497,522645,28.21300115465774
10,9,0.02,random_forest,200,15,0.5,0.4405489406647234,False,0.29726585695006746,0.2794721783082096,0.9854166462211842,0.4354478137840563,0.5355857643076777,0.2958731927388637,100411,258877,1852497,522645,28.21300115465774
30,12,0.015,random_forest,100,5,0.5,0.46394174126758325,False,0.3508198605785416,0.3348280763025315,0.9852009511298825,0.4997964929299746,0.5430665951840731,0.3572950290608499,118498,235409,1826832,616358,33.739172512852846
30,12,0.015,random_forest,100,5,0.45,0.46394174126758325,False,0.3508198605785416,0.3348280763025315,0.9852009511298825,0.4997964929299746,0.5430665951840731,0.3572950290608499,118498,235409,1826832,616358,33.739172512852846
10,12,0.025,random_forest,100,10,0.5,0.4563164689160638,False,0.28517678812415653,0.2669512989362472,0.984986033519553,0.42005824775001643,0.5383988484328088,0.28520697688111696,95914,263380,1852497,500144,26.998370307752182
10,12,0.025,random_forest,100,10,0.45,0.45631646891606387,False,0.28517678812415653,0.2669512989362472,0.984986033519553,0.42005824775001643,0.5383988484328088,0.28520697688111696,95914,263380,1852497,500144,26.998370307752182
15,6,0.03,xgboost,200,15,0.5,0.05564331263303757,False,0.19870109118090745,0.17771481635373412,0.9845963692545384,0.30108522590368564,0.529807102317176,0.18902789434764644,63728,294869,1846162,330255,17.888733491427082
15,6,0.03,xgboost,200,15,0.45,0.05564331263303757,False,0.19870109118090745,0.17771481635373412,0.9845963692545384,0.30108522590368564,0.529807102317176,0.18902789434764644,63728,294869,1846162,330255,17.888733491427082
30,9,0.015,xgboost,100,10,0.45,0.21737001836299896,False,0.33866222182079936,0.3198312020895548,0.984324267709388,0.48279153993188967,0.5548194104581039,0.3502570180040224,112776,239835,1826832,587045,32.13459146763359
30,9,0.015,xgboost,100,10,0.5,0.21737001836299896,False,0.33866222182079936,0.3198312020895548,0.984324267709388,0.48279153993188967,0.5548194104581039,0.3502570180040224,112776,239835,1826832,587045,32.13459146763359
10,6,0.025,random_forest,100,5,0.5,0.47459928868560686,False,0.22975708502024292,0.20936974836677685,0.9841361181224906,0.3452824777745913,0.5317874737100055,0.22113235576332127,75250,284162,1852497,391649,21.141680661291222
10,6,0.025,random_forest,100,5,0.45,0.4745992886856068,False,0.22975708502024292,0.20936974836677685,0.9841361181224906,0.3452824777745913,0.5317874737100055,0.22113235576332127,75250,284162,1852497,391649,21.141680661291222
10,6,0.02,random_forest,100,10,0.45,0.4625769883332076,False,0.26739811066126856,0.24739192738099886,0.9836716143264125,0.3953531370780009,0.5338762779866888,0.2622909050638039,88738,269956,1852497,463746,25.03356280738916
10,6,0.02,random_forest,100,10,0.5,0.4625769883332076,False,0.26739811066126856,0.24739192738099886,0.9836716143264125,0.3953531370780009,0.5338762779866888,0.2622909050638039,88738,269956,1852497,463746,25.03356280738916
10,6,0.02,xgboost,100,10,0.5,0.1879468411207199,False,0.2669014844804318,0.24725663618175028,0.9836051035904713,0.3951749922619061,0.5335753716363048,0.26218438005741823,88732,270134,1852497,463746,25.03356280738916
